date_time,temp,date,time,weekday,month,year,temp_deseasoned1,deseasoned_24hr_smooth,deseasoned_weekly_smooth
2016-08-27 20:00:00,86.54359999999994,2016-08-27,20:00:00,Saturday,August,2016,-0.018000000000100158,0.22844999999993773,0.34704857142856355
2016-08-27 21:00:00,83.65280000000004,2016-08-27,21:00:00,Saturday,August,2016,1.0835999999999473,0.3722999999999382,0.37294928571427777
2016-08-27 22:00:00,80.99600000000005,2016-08-27,22:00:00,Saturday,August,2016,0.09359999999995239,0.40094999999993536,0.38349857142856303
2016-08-27 23:00:00,78.72440000000006,2016-08-27,23:00:00,Saturday,August,2016,0.7272000000000105,0.5245499999999387,0.3985264285714197
2016-08-28 00:00:00,78.14840000000007,2016-08-28,00:00:00,Sunday,August,2016,1.9800000000000466,0.6740999999999419,0.42178285714284863
2016-08-28 01:00:00,76.53560000000004,2016-08-28,01:00:00,Sunday,August,2016,2.1312000000000637,0.8491499999999478,0.4426542857142775
2016-08-28 02:00:00,75.84800000000003,2016-08-28,02:00:00,Sunday,August,2016,2.163599999999974,1.0016999999999452,0.4655185714285632
2016-08-28 03:00:00,74.51239999999999,2016-08-28,03:00:00,Sunday,August,2016,2.1095999999999435,1.1152499999999417,0.4925828571428484
2016-08-28 04:00:00,73.51160000000002,2016-08-28,04:00:00,Sunday,August,2016,2.267999999999873,1.247849999999931,0.5197971428571342
2016-08-28 05:00:00,72.63320000000013,2016-08-28,05:00:00,Sunday,August,2016,2.721600000000109,1.3877999999999389,0.5519828571428494
2016-08-28 06:00:00,71.8556000000001,2016-08-28,06:00:00,Sunday,August,2016,2.5380000000001672,1.5431999999999497,0.5814042857142792
2016-08-28 07:00:00,71.34800000000013,2016-08-28,07:00:00,Sunday,August,2016,2.1312000000000353,1.6234499999999528,0.6097585714285645
2016-08-28 08:00:00,71.13560000000005,2016-08-28,08:00:00,Sunday,August,2016,1.5876000000000232,1.6673999999999545,0.6395914285714212
2016-08-28 09:00:00,74.03720000000007,2016-08-28,09:00:00,Sunday,August,2016,0.12960000000009586,1.6205999999999605,0.6589028571428507
2016-08-28 10:00:00,78.34639999999997,2016-08-28,10:00:00,Sunday,August,2016,-0.7524000000000228,1.4993999999999648,0.6875507142857086
2016-08-28 11:00:00,81.29480000000005,2016-08-28,11:00:00,Sunday,August,2016,-2.2895999999999788,1.3453499999999672,0.6952414285714223
2016-08-28 12:00:00,83.81840000000003,2016-08-28,12:00:00,Sunday,August,2016,-2.9016000000000304,1.157249999999965,0.6912964285714225
2016-08-28 13:00:00,85.27640000000002,2016-08-28,13:00:00,Sunday,August,2016,-3.826800000000077,0.9082499999999593,0.6675942857142784
2016-08-28 14:00:00,86.29160000000006,2016-08-28,14:00:00,Sunday,August,2016,-4.820399999999978,0.6016499999999644,0.6396492857142784
2016-08-28 15:00:00,87.25280000000004,2016-08-28,15:00:00,Sunday,August,2016,-4.8599999999999,0.30389999999997386,0.6084471428571362
2016-08-28 16:00:00,88.17440000000003,2016-08-28,16:00:00,Sunday,August,2016,-3.9996000000001004,0.08084999999996434,0.5836521428571353
2016-08-28 17:00:00,89.13200000000002,2016-08-28,17:00:00,Sunday,August,2016,-3.067200000000014,-0.12525000000003494,0.563657142857136
2016-08-28 18:00:00,88.0988,2016-08-28,18:00:00,Sunday,August,2016,-2.764800000000008,-0.29295000000003374,0.5476928571428501
2016-08-28 19:00:00,85.78400000000009,2016-08-28,19:00:00,Sunday,August,2016,-2.9123999999998915,-0.43950000000002615,0.528835714285708
2016-08-28 20:00:00,83.69240000000012,2016-08-28,20:00:00,Sunday,August,2016,-2.851199999999821,-0.5575500000000145,0.5080285714285661
2016-08-28 21:00:00,81.9716,2016-08-28,21:00:00,Sunday,August,2016,-1.6812000000000467,-0.6727500000000143,0.49251428571427996
2016-08-28 22:00:00,80.00240000000002,2016-08-28,22:00:00,Sunday,August,2016,-0.9936000000000291,-0.7180500000000135,0.4808571428571369
2016-08-28 23:00:00,78.77840000000009,2016-08-28,23:00:00,Sunday,August,2016,0.05400000000003047,-0.7461000000000126,0.4844357142857082
2016-08-29 00:00:00,75.07400000000001,2016-08-29,00:00:00,Monday,August,2016,-3.074400000000054,-0.9567000000000169,0.4681285714285642
2016-08-29 01:00:00,75.50960000000005,2016-08-29,01:00:00,Monday,August,2016,-1.0259999999999962,-1.0882500000000193,0.46709999999999274
2016-08-29 02:00:00,75.20360000000002,2016-08-29,02:00:00,Monday,August,2016,-0.6444000000000045,-1.2052500000000184,0.4640785714285644
2016-08-29 03:00:00,73.77440000000004,2016-08-29,03:00:00,Monday,August,2016,-0.7379999999999427,-1.3239000000000136,0.4610142857142798
2016-08-29 04:00:00,72.57560000000007,2016-08-29,04:00:00,Monday,August,2016,-0.9359999999999502,-1.4574000000000062,0.45869999999999406
2016-08-29 05:00:00,72.01760000000004,2016-08-29,05:00:00,Monday,August,2016,-0.6156000000000859,-1.5964500000000144,0.4567714285714219
